Team,Charm Name,Repository,Branch (if not the default),Source
,gnocchi,https://opendev.org/openstack/charm-gnocchi,,auto
,hacluster,https://opendev.org/openstack/charm-hacluster,,auto
,heat,https://opendev.org/openstack/charm-heat,,auto
,hello-juju,https://github.com/juju/hello-juju-charm,,auto
,httprequest-lego-provider,https://github.com/canonical/httprequest-lego-provider,,manual
,influxdb,https://git.launchpad.net/influxdb-charm,,auto
,ironic-api,https://opendev.org/openstack/charm-ironic-api,,auto
,ironic-conductor,https://opendev.org/openstack/charm-ironic-conductor,,auto
,jenkins,https://github.com/jenkinsci/jenkins-charm,,auto
,jimm,https://github.com/canonical/jimm,,manual
,juju-dashboard-k8s,https://github.com/canonical/juju-dashboard,,auto
,jupyter,https://github.com/canonical/bundle-jupyter/issues/,,auto
,k8s-operator,https://github.com/canonical/k8s-operator,,manual
,keystone,https://opendev.org/openstack/charm-keystone,,auto
,keystone-kerberos,https://opendev.org/openstack/charm-keystone-kerberos,,auto
,keystone-ldap,https://opendev.org/openstack/charm-keystone-ldap,,auto
,keystone-saml-mellon,https://opendev.org/openstack/charm-keystone-saml-mellon,,auto
,kibana,https://git.launchpad.net/kibana-charm,,auto
,knf-lma-stack,https://github.com/davigar15/ecosystem-prep,,auto
,kube-ovn,https://github.com/charmed-kubernetes/charm-kube-ovn,,auto
,kubeapi-load-balancer,https://github.com/charmed-kubernetes/charm-kubeapi-load-balancer,,auto
,kubernetes-control-plane,https://github.com/charmed-kubernetes/charm-kubernetes-control-plane,,auto
,kubernetes-core,https://github.com/charmed-kubernetes/bundle,,auto
,kubernetes-worker,https://github.com/charmed-kubernetes/charm-kubernetes-worker,,auto
,kubescape,https://github.com/vladklokun/ks-charmed,,auto
,kyuubi-k8s-operator,https://github.com/canonical/kyuubi-k8s-operator,,manual
,landscape-client,https://bugs.launchpad.net/landscape-client-charm,,auto
,landscape-dense,https://code.launchpad.net/landscape-bundles/+git,,auto
,landscape-server,https://github.com/canonical/landscape-server-operator,,auto
,lego-operator,https://github.com/canonical/lego-operator,,manual
,linstor,https://github.com/linbit/charmed-linstor,,auto
,Livepatch K8s,https://github.com/canonical/livepatch-k8s-operator,,manual
,logstash,https://git.launchpad.net/logstash-charm,,auto
,manila,https://opendev.org/openstack/charm-manila,,auto
,manila-dashboard,https://opendev.org/openstack/charm-manila-dashboard,,auto
,manila-netapp,https://opendev.org/openstack/charm-manila-netapp,,auto
,masakari,https://opendev.org/openstack/charm-masakari,,auto
,masakari-monitors,https://opendev.org/openstack/charm-masakari-monitors,,auto
,metadata-api,https://github.com/juju-solutions/bundle-kubeflow,,auto
,metallb,https://github.com/charmed-kubernetes/metallb-operator,,auto
,mysql-router,https://git.launchpad.net/charm-mysql-router,,auto
,mysql-router-k8s,https://github.com/canonical/mysql-router-operators,,auto
,nats,https://github.com/canonical/nats-operator,,auto
,netbox-k8s-operator,https://github.com/canonical/netbox-k8s-operator,,manual
,neutron-api-odl,https://opendev.org/openstack/charm-neutron-api-odl,,auto
,neutron-api-plugin-arista,https://opendev.org/openstack/charm-neutron-api-plugin-arista,,auto
,neutron-api-plugin-ironic,https://opendev.org/openstack/charm-neutron-api-plugin-ironic,,auto
,neutron-dynamic-routing,https://opendev.org/openstack/charm-neutron-dynamic-routing,,auto
,neutron-gateway,https://opendev.org/openstack/charm-neutron-gateway,,auto
,nfs-ganesha,https://git.launchpad.net/nfs-ganesha-charm,,auto
,nova-cell-controller,https://opendev.org/openstack/charm-nova-cell-controller,,auto
,nova-dell-powerflex,https://github.com/dell-esg/powerflex-nova-charm,,auto
,OAuth2 Proxy K8s,https://github.com/canonical/oauth2-proxy-k8s-operator,,manual
,octavia-dashboard,https://opendev.org/openstack/charm-octavia-dashboard,,auto
,octavia-diskimage-retrofit,https://opendev.org/openstack/charm-octavia-diskimage-retrofit,,auto
,odl-controller,https://opendev.org/openstack/charm-odl-controller,,auto
,openstack-exporter-operator,https://github.com/canonical/openstack-exporter-operator,,manual
,openvswitch-odl,https://opendev.org/openstack/charm-openvswitch-odl,,auto
,ovn-chassis,https://git.launchpad.net/charm-ovn-chassis,,auto
,ovn-dedicated-chassis,https://git.launchpad.net/charm-ovn-dedicated-chassis,,auto
,pacemaker-remote,https://opendev.org/openstack/charm-pacemaker-remote,,auto
,parca-agent-operator,https://github.com/canonical/parca-agent-operator,,manual
,parca-k8s-operator,https://github.com/canonical/parca-k8s-operator,,manual
,parca-scrape-target-operator,https://github.com/canonical/parca-scrape-target-operator,,manual
,percona-cluster,https://opendev.org/openstack/charm-percona-cluster,,auto
,placement,https://opendev.org/openstack/charm-placement,,auto
,rabbitmq-server,https://opendev.org/openstack/charm-rabbitmq-server,,auto
,S3 Integrator,https://github.com/canonical/s3-integrator,,manual
,spark-integration-hub-k8s-operator,https://github.com/canonical/spark-integration-hub-k8s-operator,,manual
,squid-reverseproxy,https://git.launchpad.net/squid-reverseproxy-charm,,auto
,swift-proxy,https://opendev.org/openstack/charm-swift-proxy,,auto
,swift-storage,https://opendev.org/openstack/charm-swift-storage,,auto
,tempo-coordinator-k8s,https://github.com/canonical/tempo-operators,,auto
,ubuntu-repository-cache,https://code.launchpad.net/~ubuntu-repository-cache-charmers/ubuntu-repository-cache/layer-ubuntu-repository-cache,,auto
,znc,https://github.com/battlemidget/juju-charm-znc,,auto
,aar,https://bugs.launchpad.net/anbox-cloud,,auto
,argo-controller,https://github.com/canonical/argo-operators/argo-controller,,auto
,argo-ui,https://github.com/juju-solutions/bundle-kubeflow/issues,,auto
,canonical-livepatch-onprem,https://bugs.launchpad.net/livepatch-onprem,,auto
,ceph-base,https://bugs.launchpad.net/openstack-bundles/+filebug,,auto
,chrony,https://github.com/canonical/chrony-operator,,auto
,containers-easyrsa,https://bugs.launchpad.net/charm-easyrsa/+filebug,,auto
,containers-kubernetes-worker,https://bugs.launchpad.net/charm-kubernetes-worker,,auto
,coredns,https://github.com/charmed-kubernetes/charm-coredns/,,auto
,landscape-dense-maas,https://bugs.launchpad.net/landscape-bundles/+filebug,,auto
,mysql-k8s,https://github.com/canonical/mysql-operators,,auto
,nexentaedge-data,https://bugs.launchpad.net/charms/+source/nexentaedge-data,,auto
,nexentaedge-iscsi-gw,https://bugs.launchpad.net/charms/+source/nexentaedge-iscsi-gw,,auto
,nexentaedge-swift-gw,https://bugs.launchpad.net/charms/+source/nexentaedge-swift-gw,,auto
,opentelemetry-collector,https://github.com/canonical/opentelemetry-collector-operator,,auto
,opentelemetry-collector-k8s,https://github.com/canonical/opentelemetry-collector-k8s-operator,,auto
containers,charm-aws-k8s-storage,https://git.launchpad.net/charm-aws-k8s-storage,,auto-discover
containers,charm-gcp-k8s-storage,https://git.launchpad.net/charm-gcp-k8s-storage,,auto-discover
containers,keystone-k8s-auth-operator,https://git.launchpad.net/keystone-k8s-auth-operator,,auto-discover
openstack-charmers,charm-aodh,https://git.launchpad.net/charm-aodh,,auto-discover
openstack-charmers,charm-barbican,https://git.launchpad.net/charm-barbican,,auto-discover
openstack-charmers,charm-barbican-vault,https://git.launchpad.net/charm-barbican-vault,,auto-discover
openstack-charmers,charm-ceilometer,https://git.launchpad.net/charm-ceilometer,,auto-discover
openstack-charmers,charm-ceilometer-agent,https://git.launchpad.net/charm-ceilometer-agent,,auto-discover
openstack-charmers,charm-cinder,https://git.launchpad.net/charm-cinder,,auto-discover
openstack-charmers,charm-cinder-backup,https://git.launchpad.net/charm-cinder-backup,,auto-discover
openstack-charmers,charm-cinder-backup-swift-proxy,https://git.launchpad.net/charm-cinder-backup-swift-proxy,,auto-discover
openstack-charmers,charm-cinder-ceph,https://git.launchpad.net/charm-cinder-ceph,,auto-discover
openstack-charmers,charm-cinder-infinidat,https://git.launchpad.net/charm-cinder-infinidat,,auto-discover
openstack-charmers,charm-cinder-lvm,https://git.launchpad.net/charm-cinder-lvm,,auto-discover
openstack-charmers,charm-cinder-netapp,https://git.launchpad.net/charm-cinder-netapp,,auto-discover
openstack-charmers,charm-cinder-nimblestorage,https://git.launchpad.net/charm-cinder-nimblestorage,,auto-discover
openstack-charmers,charm-cinder-purestorage,https://git.launchpad.net/charm-cinder-purestorage,,auto-discover
openstack-charmers,charm-cinder-solidfire,https://git.launchpad.net/charm-cinder-solidfire,,auto-discover
openstack-charmers,charm-cinder-three-par,https://git.launchpad.net/charm-cinder-three-par,,auto-discover
openstack-charmers,charm-cloudkitty,https://git.launchpad.net/charm-cloudkitty,,auto-discover
openstack-charmers,charm-designate,https://git.launchpad.net/charm-designate,,auto-discover
openstack-charmers,charm-designate-bind,https://git.launchpad.net/charm-designate-bind,,auto-discover
openstack-charmers,charm-discoveryserver,https://git.launchpad.net/charm-discoveryserver,,auto-discover
openstack-charmers,charm-glance,https://git.launchpad.net/charm-glance,,auto-discover
openstack-charmers,charm-glance-simplestreams-sync,https://git.launchpad.net/charm-glance-simplestreams-sync,,auto-discover
openstack-charmers,charm-gnocchi,https://git.launchpad.net/charm-gnocchi,,auto-discover
